,지역,이용자수,이용금액,거주인구,근무인구,방문인구,년도
17,제주시 구좌읍,2520.587537091988,74594389.03264095,8665012.421293767,816641.0253382789,5082957.549008902,2020
18,제주시 외도동,2540.654761904762,63273566.383928575,8063544.395425595,404518.671264881,3167181.288767857,2020
19,제주시 용담2동,7201.081355932203,371756045.1694915,6943443.198159322,1112245.608579661,7632332.032311864,2020
20,서귀포시 표선면,1916.2692307692307,62830270.15088757,6847285.792866863,631910.3552899408,3585833.954766272,2020
21,서귀포시 중문동,2053.0332409972298,73217227.41828255,6786287.437252077,413918.37332132965,3393905.0944819944,2020
22,제주시 삼도1동,1747.0220125786163,49130672.025157236,6407752.4494811315,513432.4001792453,3958753.7824716982,2020
23,제주시 이도1동,1699.490625,64621244.546875,5229167.9517749995,904291.945078125,5774074.8735125,2020
24,서귀포시 대천동,2115.0555555555557,52062794.21875,4956212.857909722,421710.7076041667,3623178.4676736114,2020
25,제주시 한경면,1047.1741741741741,36617013.222222224,4616788.210615615,365621.0683663664,2336883.5018528528,2020
26,제주시 건입동,1810.7190332326284,58908795.39274924,4434021.1683504535,560791.5503081571,4180765.898425982,2020
27,제주시 용담1동,717.203488372093,24329003.98837209,4211040.900790698,316477.679872093,2687180.454069767,2020
28,서귀포시 서홍동,1028.4141414141413,20041817.45117845,4042660.017821549,253747.46853535355,2360832.920218855,2020
29,제주시 삼도2동,1906.9023668639054,74094491.60059172,2973671.446402367,439574.903408284,3476742.275899408,2020
30,제주시 봉개동,1206.9823008849557,36687636.561946906,2799119.492646018,442134.90903097345,2821976.7150752214,2020
31,서귀포시 효돈동,898.7304347826087,21038927.82173913,2597479.179126087,149168.97880869565,1104651.595826087,2020
32,서귀포시 영천동,1869.1673151750972,85071879.07003891,2535503.669486381,502676.2632568093,2495602.576898833,2020
33,제주시 이호동,845.5133079847909,24369559.19771863,2180205.175931559,200022.3305665399,1919997.6560038023,2020
34,서귀포시 예래동,1819.968152866242,104054180.84394905,2149288.8409394906,478162.1583503185,3732605.9422101914,2020
35,서귀포시 중앙동,4511.133738601824,148114622.91185412,1311658.2560030394,399785.73996656534,2792864.772349544,2020
36,서귀포시 정방동,4511.133738601824,148114622.91185412,1235113.612519757,211151.07777811552,2296300.0139361704,2020
37,서귀포시 송산동,7510.846774193548,245681545.07795697,1163677.146387097,76233.53320698925,1042666.8586478494,2020
38,제주시 추자면,275.5057471264368,10304892.885057472,934601.4521149426,55853.747764367814,787697.2545172415,2020
39,제주시 일도1동,1649.8006644518273,71476665.12624584,924815.1785647841,175046.99163122923,1656205.424820598,2020
40,제주시 우도면,949.0542635658915,23574512.472868215,844911.40875969,51391.64474418605,740221.1409573643,2020
41,제주시 도두동,1441.1052631578948,47102197.40977444,811553.3733533835,124891.48315037593,2083340.3751203006,2020
42,서귀포시 천지동,4998.888268156425,152743381.90223464,498965.96596368717,56710.60372346369,1185020.5553938549,2020
0,서귀포시 남원읍,886.2559880239521,39270700.516467065,3904612.4271047907,321973.63736826344,2546603.44926497,2017
1,서귀포시 대륜동,1238.5187861271677,48890993.67774566,3321628.1266054916,439713.9802919075,2775763.92858815,2017
2,서귀포시 대정읍,1265.878048780488,41549736.164634146,5202584.429984757,307007.0652987805,2079488.9414908537,2017
3,서귀포시 대천동,978.3432574430823,28071781.28721541,2230520.9595779334,210512.3158038529,2104952.280084063,2017
4,서귀포시 동홍동,1657.704467353952,56810463.151202746,5184497.426080756,521478.93302061857,2472152.319958763,2017
5,서귀포시 서홍동,551.4188948306595,12754843.401069518,1687656.2435008911,136241.51487700533,1198506.8711622104,2017
6,서귀포시 성산읍,1726.8958944281526,58257162.86803519,3856846.300829912,309385.29268914956,3334316.688815249,2017
7,서귀포시 송산동,3654.5579227696403,139902754.27030626,580857.5104167777,35180.733182423435,603272.6178388814,2017
8,서귀포시 안덕면,1443.1253644314868,48702848.430029154,3554841.7638950436,654104.4222813412,3340145.713957726,2017
9,서귀포시 영천동,694.686230248307,37859413.50790068,1122793.9228510158,312601.5893792325,1484265.66841535,2017
10,서귀포시 예래동,842.1389270976616,49837951.57634113,922438.3600701514,339020.45854332874,2728778.3753823936,2017
11,서귀포시 정방동,2345.4259818731116,92388582.10120846,616377.8936072508,125476.33245166164,1469109.5402537764,2017
12,서귀포시 중문동,1124.308228730823,47750014.83124128,2306946.892400279,244410.68069037658,1960548.846651325,2017
13,서귀포시 중앙동,2345.4259818731116,92388582.10120846,621148.3464833837,224455.6203821752,1563575.9768202417,2017
